"","firstBloodKill","firstTowerKill","firstTowerAssist","kills","assists","deaths","goldEarned","totalDamageDealt","magicDamageDealt","physicalDamageDealt","totalDamageDealtToChampions","totalDamageTaken","minionsKilled","neutralMinionsKilled","totalTimeCrowdControlDealt","wardsPlaced","towerKills","largestMultiKill","largestKillingSpree","largestCriticalStrike","totalHeal"
"firstBloodKill",NA,0.10005637124386,0.00988041370142278,0.23661951863565,-0.00172900245373043,-0.0345658179431837,0.154630090490096,0.144958700977102,0.0121941601353604,0.128088118678547,0.170741522802263,0.0261265414615275,0.137554659221925,0.0485959198400643,0.00985378116328855,-0.0247137607941644,0.134672236232151,0.144081082329101,0.203624959544473,0.0795901450603855,0.00943975718173831
"firstTowerKill",0.10005637124386,NA,-0.0704462913852428,0.164810140399295,0.0283635801850536,-0.0786393605052986,0.15517698969336,0.16652082868702,-0.0270356029741801,0.160381035376891,0.143129688537776,-0.00891572159490164,0.169415836300349,0.0462863676516852,0.00198055230239309,-0.0351978845863075,0.353384291535891,0.124291120370681,0.167167914132206,0.117202675809981,0.0230560212902973
"firstTowerAssist",0.00988041370142278,-0.0704462913852428,NA,0.0164035855720722,0.138541639074648,-0.093248606374163,0.0543979647180326,-0.0240946988217756,0.00665954297182642,-0.0296919346138136,0.0070746186355446,-0.0392450826014652,-0.058158451317555,-0.00451628474024446,0.0203577773709167,0.08203608002183,0.0243320478172438,0.0134511978046883,0.0386766329205311,-0.00735740669508171,0.0500596941958808
"kills",0.23661951863565,0.164810140399295,0.0164035855720722,NA,0.232450991004234,0.0558503968118566,0.770185548122633,0.679823903381148,0.210966066206749,0.512325623583766,0.801748302235339,0.295761269562897,0.552602783657319,0.3138060463186,0.176320793324837,-0.0619397808796755,0.446767775088691,0.746124305352335,0.869272874201507,0.343376841345478,0.0830098430119522
"assists",-0.00172900245373043,0.0283635801850536,0.138541639074648,0.232450991004234,NA,0.0543726719235851,0.561643145831548,0.182050546121409,0.270028863150166,0.0129191130047995,0.396213177858973,0.363759075646358,-0.0664452773023923,0.128263508679145,0.288112884803003,0.393942198567997,0.215630335635633,0.14928565598904,0.18149893258851,-0.0377100593542757,0.342433331035999
"deaths",-0.0345658179431837,-0.0786393605052986,-0.093248606374163,0.0558503968118566,0.0543726719235851,NA,0.131042668816918,0.115029702650302,0.0888042105193337,0.0657567856192996,0.248521840033372,0.641919266678649,0.0557791985413626,0.0406414762856305,0.0759575699702519,0.0853712991945376,-0.187217705217263,0.0239453980522623,-0.205226562060399,0.0517162958733413,0.0533814752746245
"goldEarned",0.154630090490096,0.15517698969336,0.0543979647180326,0.770185548122633,0.561643145831548,0.131042668816918,NA,0.814249440500523,0.293872746491501,0.568331926070871,0.848246254517386,0.527785907456463,0.592765259797887,0.381501527835061,0.30057993789938,0.165059242376442,0.518468587864931,0.565858596354697,0.643171889312015,0.350416747522148,0.277485428831918
"totalDamageDealt",0.144958700977102,0.16652082868702,-0.0240946988217756,0.679823903381148,0.182050546121409,0.115029702650302,0.814249440500523,NA,0.208011992129766,0.787478491075514,0.757932959061567,0.449190481587515,0.773760950480395,0.566060832316519,0.277392288693329,-0.0903789671575067,0.483301775648179,0.513273448643772,0.575855715019266,0.476141081955942,0.158989708466701
"magicDamageDealt",0.0121941601353604,-0.0270356029741801,0.00665954297182642,0.210966066206749,0.270028863150166,0.0888042105193337,0.293872746491501,0.208011992129766,NA,-0.314561832073769,0.332772403134382,0.217201232665987,0.0910650857388431,0.109639568936726,0.255293533634075,0.175710159633995,0.00787532060903858,0.132075909278863,0.163997122563771,-0.353797431636216,0.102753928150737
"physicalDamageDealt",0.128088118678547,0.160381035376891,-0.0296919346138136,0.512325623583766,0.0129191130047995,0.0657567856192996,0.568331926070871,0.787478491075514,-0.314561832073769,NA,0.490289294293962,0.340137508143902,0.6364039292049,0.507171479669521,0.175778774584112,-0.219022454772887,0.446204632103541,0.404623623784592,0.440409623577037,0.66541138664314,0.0716487669784994
