"matchId","matchCreation","summonerId","championId","winner","firstBloodKill","firstTowerKill","firstTowerAssist","kills","assists","deaths","goldEarned","totalDamageDealt","magicDamageDealt","physicalDamageDealt","totalDamageDealtToChampions","totalDamageTaken","minionsKilled","neutralMinionsKilled","totalTimeCrowdControlDealt","wardsPlaced","towerKills","largestMultiKill","largestKillingSpree","largestCriticalStrike","totalHeal"
456172769,1421846775755,9671176,25,1,0,0,0,4,8,3,6233,13531,10918,2613,6899,8610,5,0,72,10,0,2,2,0,100
456172769,1421846775755,1923916,122,1,1,0,0,11,2,2,8537,69048,17664,48199,14432,14508,97,4,116,2,0,2,8,0,848
456172769,1421846775755,9591653,64,1,0,0,0,3,10,0,5581,18393,3832,12085,4485,6714,3,10,191,7,0,1,3,0,685
456172769,1421846775755,2208721,45,1,0,0,0,2,8,1,6646,38062,25799,12263,6908,3938,91,3,21,4,1,1,2,0,268
456172769,1421846775755,5032564,15,1,0,0,0,3,4,0,6587,58400,0,58400,9081,5530,98,0,0,2,1,1,3,475,438
456172769,1421846775755,8840396,7,0,0,0,0,2,0,3,5095,20043,5340,14702,2978,6891,87,0,9,3,0,2,2,0,0
456172769,1421846775755,5829502,23,0,0,0,0,1,1,6,4053,25272,2384,20703,2402,15132,13,17,145,2,0,1,0,266,1759
456172769,1421846775755,3590713,24,0,0,0,0,1,1,5,4286,31319,5760,25059,5691,9354,45,0,41,3,1,1,0,0,525
456172769,1421846775755,1827620,222,0,0,0,0,2,1,4,4856,42324,1660,40663,7546,9227,71,0,70,3,0,1,0,314,0
456172769,1421846775755,1189445,201,0,0,0,0,0,1,5,3062,10757,6261,3619,4800,12184,13,0,851,3,0,0,0,0,1604
456203130,1421853004727,1731929,157,0,0,0,0,0,0,4,5066,49951,1951,47680,2656,8776,114,1,37,5,0,0,0,275,195
456203130,1421853004727,514197,92,0,0,0,0,0,0,3,5162,43944,0,43944,3351,7448,121,1,59,5,0,0,0,0,204
456203130,1421853004727,551337,106,0,0,0,0,1,0,1,5653,71720,30763,27979,1542,15645,14,60,1271,1,0,1,0,0,1167
456203130,1421853004727,2613393,104,0,0,0,0,2,0,2,6665,72089,1881,70173,6335,8180,150,9,37,0,1,1,0,565,1005
456203130,1421853004727,534914,412,0,0,0,0,0,2,5,4096,9274,5949,3324,5000,10038,4,0,63,17,0,0,0,0,120
456203130,1421853004727,818089,120,1,0,0,0,4,6,0,7146,68243,11570,50899,9850,13048,14,41,371,7,1,1,4,0,3399
456203130,1421853004727,2192127,14,1,0,0,0,2,1,1,6766,71103,49741,21361,4806,6925,141,0,659,5,0,1,0,0,2169
456203130,1421853004727,483187,25,1,0,0,0,0,4,1,4733,9400,7253,2147,3335,4707,11,0,45,14,0,0,0,0,120
456203130,1421853004727,6772692,222,1,0,1,0,2,3,1,7190,69759,336,69423,4157,6282,135,3,40,2,1,1,0,556,936
456203130,1421853004727,416816,7,1,1,0,0,7,1,0,8087,67022,53729,13000,10090,5843,133,9,32,5,1,2,7,0,434
