"matchId","summonerId","Win","FirstBlood","FirstTower","FirstTowerAssist","Kills","Assists","Deaths","GoldEarned","TotalDamageDealt","MagicDamageDealt","PhysicalDamageDealt","TotalDamageDealtToChampions","TotalDamageTaken","MinionsKilled","NeutralMinionsKilled","CrowdControl","WardsPlaced","TowerKills","LargestMultiKill","LargestKillingSpree","LargestCritStrike","TotalHealAmount"
456170474,1966804,0,1,0,0,6,15,9,14008,143150,18541,111396,18264,43140,97,44,827,16,1,1,3,270,7846
456170474,701230,0,0,0,0,7,13,10,12860,140148,79929,18730,27645,27122,150,8,86,7,0,2,2,0,3771
456170474,3360030,0,0,0,0,2,16,14,10476,27076,21062,6014,14445,27637,13,1,72,25,0,1,2,0,6562
456170474,5858323,0,0,0,0,7,13,8,16428,267273,1200,264654,32703,26286,276,26,162,7,1,1,4,985,2625
456170474,472995,0,0,0,0,9,15,9,13767,148832,27214,120981,31942,45285,142,14,790,9,2,2,3,364,2142
456170474,652646,1,0,0,1,16,21,4,18663,192557,168758,23101,46231,20106,188,19,1367,1,4,2,6,0,2436
456170474,1695009,1,0,0,0,9,21,10,15269,140700,15934,121846,26345,42543,161,10,589,10,2,2,3,0,4763
456170474,2072880,1,0,0,1,10,16,9,16140,209387,28971,168406,22629,34372,70,91,371,17,0,2,3,0,1307
456170474,1928929,1,0,1,0,12,15,4,18913,248530,1297,246866,24804,19315,282,11,230,5,2,4,7,1026,3711
456170474,3440338,1,0,0,0,3,25,5,13109,68214,51878,14570,18579,37526,64,1,255,24,0,1,0,0,2800
456172769,9671176,1,0,0,0,4,8,3,6233,13531,10918,2613,6899,8610,5,0,72,10,0,2,2,0,100
456172769,1923916,1,1,0,0,11,2,2,8537,69048,17664,48199,14432,14508,97,4,116,2,0,2,8,0,848
456172769,9591653,1,0,0,0,3,10,0,5581,18393,3832,12085,4485,6714,3,10,191,7,0,1,3,0,685
456172769,2208721,1,0,0,0,2,8,1,6646,38062,25799,12263,6908,3938,91,3,21,4,1,1,2,0,268
456172769,5032564,1,0,0,0,3,4,0,6587,58400,0,58400,9081,5530,98,0,0,2,1,1,3,475,438
456172769,8840396,0,0,0,0,2,0,3,5095,20043,5340,14702,2978,6891,87,0,9,3,0,2,2,0,0
456172769,5829502,0,0,0,0,1,1,6,4053,25272,2384,20703,2402,15132,13,17,145,2,0,1,0,266,1759
456172769,3590713,0,0,0,0,1,1,5,4286,31319,5760,25059,5691,9354,45,0,41,3,1,1,0,0,525
456172769,1827620,0,0,0,0,2,1,4,4856,42324,1660,40663,7546,9227,71,0,70,3,0,1,0,314,0
456172769,1189445,0,0,0,0,0,1,5,3062,10757,6261,3619,4800,12184,13,0,851,3,0,0,0,0,1604
456186715,2643719,0,0,0,0,28,9,5,20499,213444,5937,204858,49402,28041,198,27,515,3,4,3,12,0,2137
456186715,5804117,0,0,0,0,4,15,11,11548,103134,90940,11489,23630,20869,129,5,93,6,0,1,0,0,2142
456186715,6001650,0,0,0,0,3,6,12,11503,146079,9083,129893,13829,24973,181,6,177,6,0,1,3,713,1073
456186715,2214093,0,0,0,0,6,18,7,12853,105078,33959,62818,15435,48400,37,63,504,10,0,1,4,0,19329
456186715,2143270,0,0,0,0,1,26,6,11464,35635,28435,7199,10652,26134,26,0,957,35,0,1,0,0,10349
456186715,3661235,1,1,1,0,8,11,6,15021,201369,20174,161974,29725,31784,212,23,243,8,3,1,4,1076,3539
456186715,2510033,1,0,0,1,3,18,9,11961,51573,33254,13102,12337,35823,61,0,140,22,1,1,2,0,6663
456186715,443257,1,0,0,0,4,9,9,11489,100913,92309,8603,19139,24390,140,1,352,4,0,1,0,0,199
456186715,3960505,1,0,0,0,13,7,12,15213,197837,16575,163422,23214,35724,92,70,240,4,2,2,4,1143,1854
456186715,3446718,1,0,0,0,13,9,6,14936,158982,137183,20648,31248,20537,131,27,1776,8,1,1,4,0,1096
456190912,668899,1,0,0,0,0,17,5,11388,21027,13610,7416,2023,12828,14,0,280,30,0,0,0,0,2013
456190912,5914482,1,0,0,0,21,6,4,21457,326543,4692,321039,54640,25778,302,27,376,7,2,4,10,1126,4013
456190912,2965859,1,0,0,0,7,7,5,12990,134080,117515,16110,21110,14253,159,14,419,9,1,1,4,0,334
456190912,2482172,1,1,0,0,6,10,6,13748,129960,95696,34264,32641,23043,166,1,491,8,2,1,3,0,2317
456190912,5825582,1,0,0,0,1,9,2,11946,106503,35606,30324,6756,35633,59,47,444,2,0,1,0,0,6405
456190912,4051366,0,0,0,0,6,6,5,16521,287312,39199,248113,27630,18338,306,21,74,15,1,1,2,1052,2442
456190912,5702012,0,0,0,0,5,11,8,14503,183506,22973,150067,19792,39490,70,81,549,10,0,1,2,0,8432
456190912,4992905,0,0,0,0,2,2,5,8734,45118,407,44587,2877,31896,63,5,105,3,0,1,2,0,1641
456190912,3346576,0,0,0,0,3,7,9,9847,44774,38516,6257,13212,34722,20,1,98,25,0,1,2,0,6489
456190912,4332395,0,0,0,0,6,3,8,13053,164460,140633,22701,18833,18992,187,3,55,13,2,1,2,0,633
456171971,4625925,1,0,0,0,4,6,5,11172,89747,61048,28274,7985,13835,129,4,46,5,2,2,2,0,0
456171971,7310873,1,0,0,0,5,8,4,12588,158104,12186,120693,11534,26128,85,52,627,2,4,1,3,0,1512
456171971,2903606,1,1,0,0,11,6,2,15896,200278,76445,113834,25269,21362,253,7,135,2,3,2,8,1445,1649
456171971,1850168,1,0,0,0,8,7,8,11706,103756,22868,76943,19431,34742,116,13,118,5,0,1,3,0,754
456171971,543131,1,0,0,0,4,15,6,11410,43585,33262,9981,17082,23208,19,0,154,39,0,1,3,0,1202
456171971,1910688,0,0,0,0,3,4,5,10532,115548,2573,112781,14667,15416,191,3,121,4,0,2,2,1309,0
456171971,1827653,0,0,1,0,10,10,11,14839,224303,56138,167314,31616,27906,227,24,108,11,2,2,4,677,1200
456171971,1393722,0,0,0,0,1,10,5,9271,86647,12744,66317,8905,25321,44,47,212,16,0,1,0,0,1152
456171971,3367136,0,0,0,0,9,11,4,12784,114017,80373,32300,24887,18875,164,3,2688,7,3,2,5,0,1385
456171971,3256635,0,0,0,0,2,11,7,8780,15752,10451,5300,8941,16836,8,0,154,14,1,1,0,0,9338
456160419,5896454,0,0,0,0,4,3,5,8779,68866,1619,66917,12921,14212,145,3,86,5,0,1,2,564,152
456160419,8312816,0,0,0,0,3,4,6,5988,42476,17035,20987,5647,16901,12,26,327,3,0,1,2,262,112
456160419,5380198,0,0,0,0,5,1,5,7755,84439,20948,62842,12046,18654,118,8,481,5,0,1,2,0,577
456160419,4435581,0,0,0,0,5,6,3,7950,44234,32398,11304,10779,15725,78,3,63,11,0,3,3,0,467
456160419,3999648,0,0,0,0,1,6,5,6401,24451,10889,6447,7439,19898,44,0,719,5,0,1,0,0,1882
456160419,611071,1,1,0,0,8,6,3,10378,113162,17143,84475,13488,19254,22,53,551,8,0,2,4,0,2704
456160419,2071589,1,0,0,0,3,6,5,8696,93054,74095,17829,20248,9232,110,6,218,7,2,1,2,0,238
456160419,1701593,1,0,0,0,2,13,2,7874,17691,12036,5654,7730,14261,22,0,159,15,1,1,2,0,1025
456160419,2153240,1,0,0,0,4,2,4,9262,79994,35442,44552,10277,19772,142,0,428,10,2,1,3,0,1431
456160419,1877023,1,0,0,0,7,10,4,11137,96777,4575,92202,18174,11962,165,6,48,8,2,2,3,741,1463
456174757,2491506,1,0,0,0,4,5,4,13220,168128,0,154600,15977,16150,185,21,159,5,5,1,2,779,1949
